title,slug,size,html,css,editorial_type,topics
"A travel edit should earn its space","travel-edit-earns-space","responsive","<article class=""adazo-travel-edit-earns-space"" aria-label=""Adazo editorial note""><small>Quick insight</small><h3>A travel edit should earn its space</h3><p>The best travel kit covers the moments you know are coming, uses containers you can trust, and leaves room for one small pleasure.</p><span aria-hidden=""true"">✦</span></article>",".adazo-travel-edit-earns-space,.adazo-travel-edit-earns-space *{box-sizing:border-box}.adazo-travel-edit-earns-space{display:grid;grid-template-columns:minmax(180px,1fr) minmax(220px,1.5fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #a7c5e866;border-left:5px solid #a7c5e8;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#26354a,#3e5774);color:#f6f7ff;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-travel-edit-earns-space:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #a7c5e880;border-radius:50%;opacity:.5}.adazo-travel-edit-earns-space small{position:relative;color:#a7c5e8;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-travel-edit-earns-space h3,.adazo-travel-edit-earns-space p{position:relative;margin:0}.adazo-travel-edit-earns-space h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-travel-edit-earns-space p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-travel-edit-earns-space>span{position:relative;color:#a7c5e8;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-travel-edit-earns-space{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-travel-edit-earns-space>span{text-align:left;font-size:22px}}","fun_fact","travel,self-care,beauty"
"A good gift leaves room for choice","good-gift-leaves-choice","responsive","<article class=""adazo-good-gift-leaves-choice"" aria-label=""Adazo editorial note""><small>Care note</small><h3>A good gift leaves room for choice</h3><p>When you do not know someone’s exact shade or scent, a flexible ritual, tool, or discovery set can feel more personal than a risky guess.</p><span aria-hidden=""true"">✦</span></article>",".adazo-good-gift-leaves-choice,.adazo-good-gift-leaves-choice *{box-sizing:border-box}.adazo-good-gift-leaves-choice{display:grid;grid-template-columns:minmax(150px,.8fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #e8c57d66;border-left:5px solid #e8c57d;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#57452d,#7b6340);color:#fffaf1;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-good-gift-leaves-choice:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #e8c57d80;border-radius:50%;opacity:.5}.adazo-good-gift-leaves-choice small{position:relative;color:#e8c57d;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-good-gift-leaves-choice h3,.adazo-good-gift-leaves-choice p{position:relative;margin:0}.adazo-good-gift-leaves-choice h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-good-gift-leaves-choice p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-good-gift-leaves-choice>span{position:relative;color:#e8c57d;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-good-gift-leaves-choice{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-good-gift-leaves-choice>span{text-align:left;font-size:22px}}","care_tip","gifting,beauty,self-care"
"Ingredients tell part of the story","ingredients-tell-part-story","responsive","<article class=""adazo-ingredients-tell-part-story"" aria-label=""Adazo editorial note""><small>Design note</small><h3>Ingredients tell part of the story</h3><p>An ingredient list is useful context, but the full experience also includes texture, packaging, scent, and whether the routine fits real life.</p><span aria-hidden=""true"">✦</span></article>",".adazo-ingredients-tell-part-story,.adazo-ingredients-tell-part-story *{box-sizing:border-box}.adazo-ingredients-tell-part-story{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #d3a45f66;border-left:5px solid #d3a45f;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#18362d,#31594b);color:#fff9f0;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-ingredients-tell-part-story:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #d3a45f80;border-radius:50%;opacity:.5}.adazo-ingredients-tell-part-story small{position:relative;color:#d3a45f;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-ingredients-tell-part-story h3,.adazo-ingredients-tell-part-story p{position:relative;margin:0}.adazo-ingredients-tell-part-story h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-ingredients-tell-part-story p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-ingredients-tell-part-story>span{position:relative;color:#d3a45f;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-ingredients-tell-part-story{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-ingredients-tell-part-story>span{text-align:left;font-size:22px}}","design_note","ingredients,beauty,skin"
"More steps are not automatically better","more-steps-not-better","responsive","<article class=""adazo-more-steps-not-better"" aria-label=""Adazo editorial note""><small>Worth knowing</small><h3>More steps are not automatically better</h3><p>A routine earns complexity when each step has a clear job. If a step is hard to explain, it may be the first one to simplify.</p><span aria-hidden=""true"">✦</span></article>",".adazo-more-steps-not-better,.adazo-more-steps-not-better *{box-sizing:border-box}.adazo-more-steps-not-better{display:grid;grid-template-columns:minmax(180px,1fr) minmax(220px,1.5fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #f0a28e66;border-left:5px solid #f0a28e;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#442b2d,#754448);color:#fff8f3;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-more-steps-not-better:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #f0a28e80;border-radius:50%;opacity:.5}.adazo-more-steps-not-better small{position:relative;color:#f0a28e;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-more-steps-not-better h3,.adazo-more-steps-not-better p{position:relative;margin:0}.adazo-more-steps-not-better h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-more-steps-not-better p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-more-steps-not-better>span{position:relative;color:#f0a28e;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-more-steps-not-better{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-more-steps-not-better>span{text-align:left;font-size:22px}}","material_myth","self-care,routine,beauty"
"The mirror is not a lab","mirror-is-not-a-lab","responsive","<article class=""adazo-mirror-is-not-a-lab"" aria-label=""Adazo editorial note""><small>Quick insight</small><h3>The mirror is not a lab</h3><p>Light, camera settings, and distance change what you see. Use consistent conditions when comparing a look, then trust how it feels in motion.</p><span aria-hidden=""true"">✦</span></article>",".adazo-mirror-is-not-a-lab,.adazo-mirror-is-not-a-lab *{box-sizing:border-box}.adazo-mirror-is-not-a-lab{display:grid;grid-template-columns:minmax(150px,.8fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #a7c5e866;border-left:5px solid #a7c5e8;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#26354a,#3e5774);color:#f6f7ff;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-mirror-is-not-a-lab:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #a7c5e880;border-radius:50%;opacity:.5}.adazo-mirror-is-not-a-lab small{position:relative;color:#a7c5e8;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-mirror-is-not-a-lab h3,.adazo-mirror-is-not-a-lab p{position:relative;margin:0}.adazo-mirror-is-not-a-lab h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-mirror-is-not-a-lab p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-mirror-is-not-a-lab>span{position:relative;color:#a7c5e8;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-mirror-is-not-a-lab{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-mirror-is-not-a-lab>span{text-align:left;font-size:22px}}","fun_fact","beauty,makeup,self-care"
"A refill is a design decision","refill-is-a-design-decision","responsive","<article class=""adazo-refill-is-a-design-decision"" aria-label=""Adazo editorial note""><small>Field note</small><h3>A refill is a design decision</h3><p>Packaging that is easy to open, clean, and reuse can turn a good product into a better long-term ritual.</p><span aria-hidden=""true"">✦</span></article>",".adazo-refill-is-a-design-decision,.adazo-refill-is-a-design-decision *{box-sizing:border-box}.adazo-refill-is-a-design-decision{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #e8c57d66;border-left:5px solid #e8c57d;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#57452d,#7b6340);color:#fffaf1;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-refill-is-a-design-decision:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #e8c57d80;border-radius:50%;opacity:.5}.adazo-refill-is-a-design-decision small{position:relative;color:#e8c57d;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-refill-is-a-design-decision h3,.adazo-refill-is-a-design-decision p{position:relative;margin:0}.adazo-refill-is-a-design-decision h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-refill-is-a-design-decision p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-refill-is-a-design-decision>span{position:relative;color:#e8c57d;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-refill-is-a-design-decision{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-refill-is-a-design-decision>span{text-align:left;font-size:22px}}","nature_note","beauty,self-care,ingredients"
"Clean tools make better rituals","clean-tools-better-rituals","responsive","<article class=""adazo-clean-tools-better-rituals"" aria-label=""Adazo editorial note""><small>Care note</small><h3>Clean tools make better rituals</h3><p>Brushes, combs, and reusable applicators work best when cleaning them is simple enough to become part of the calendar.</p><span aria-hidden=""true"">✦</span></article>",".adazo-clean-tools-better-rituals,.adazo-clean-tools-better-rituals *{box-sizing:border-box}.adazo-clean-tools-better-rituals{display:grid;grid-template-columns:minmax(180px,1fr) minmax(220px,1.5fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #d3a45f66;border-left:5px solid #d3a45f;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#18362d,#31594b);color:#fff9f0;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-clean-tools-better-rituals:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #d3a45f80;border-radius:50%;opacity:.5}.adazo-clean-tools-better-rituals small{position:relative;color:#d3a45f;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-clean-tools-better-rituals h3,.adazo-clean-tools-better-rituals p{position:relative;margin:0}.adazo-clean-tools-better-rituals h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-clean-tools-better-rituals p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-clean-tools-better-rituals>span{position:relative;color:#d3a45f;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-clean-tools-better-rituals{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-clean-tools-better-rituals>span{text-align:left;font-size:22px}}","care_tip","beauty,hair,self-care"
"The evening reset can be short","evening-reset-can-be-short","responsive","<article class=""adazo-evening-reset-can-be-short"" aria-label=""Adazo editorial note""><small>Human touch</small><h3>The evening reset can be short</h3><p>A small closing ritual can signal that the day is done: cleanse, moisturize, put tools away, and leave tomorrow a clear starting point.</p><span aria-hidden=""true"">✦</span></article>",".adazo-evening-reset-can-be-short,.adazo-evening-reset-can-be-short *{box-sizing:border-box}.adazo-evening-reset-can-be-short{display:grid;grid-template-columns:minmax(150px,.8fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #f0a28e66;border-left:5px solid #f0a28e;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#442b2d,#754448);color:#fff8f3;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-evening-reset-can-be-short:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #f0a28e80;border-radius:50%;opacity:.5}.adazo-evening-reset-can-be-short small{position:relative;color:#f0a28e;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-evening-reset-can-be-short h3,.adazo-evening-reset-can-be-short p{position:relative;margin:0}.adazo-evening-reset-can-be-short h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-evening-reset-can-be-short p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-evening-reset-can-be-short>span{position:relative;color:#f0a28e;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-evening-reset-can-be-short{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-evening-reset-can-be-short>span{text-align:left;font-size:22px}}","culture_craft","skin,self-care,routine"
"The best beauty light is honest","best-beauty-light-is-honest","responsive","<article class=""adazo-best-beauty-light-is-honest"" aria-label=""Adazo editorial note""><small>Did you know?</small><h3>The best beauty light is honest</h3><p>Natural, even light makes color and texture easier to judge than a dramatic overhead spotlight.</p><span aria-hidden=""true"">✦</span></article>",".adazo-best-beauty-light-is-honest,.adazo-best-beauty-light-is-honest *{box-sizing:border-box}.adazo-best-beauty-light-is-honest{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #a7c5e866;border-left:5px solid #a7c5e8;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#26354a,#3e5774);color:#f6f7ff;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-best-beauty-light-is-honest:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #a7c5e880;border-radius:50%;opacity:.5}.adazo-best-beauty-light-is-honest small{position:relative;color:#a7c5e8;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-best-beauty-light-is-honest h3,.adazo-best-beauty-light-is-honest p{position:relative;margin:0}.adazo-best-beauty-light-is-honest h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-best-beauty-light-is-honest p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-best-beauty-light-is-honest>span{position:relative;color:#a7c5e8;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-best-beauty-light-is-honest{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-best-beauty-light-is-honest>span{text-align:left;font-size:22px}}","did_you_know","beauty,makeup,travel"
"A signature scent is a memory cue","signature-scent-memory-cue","responsive","<article class=""adazo-signature-scent-memory-cue"" aria-label=""Adazo editorial note""><small>Human touch</small><h3>A signature scent is a memory cue</h3><p>Scent is closely tied to place and memory, which is why a familiar fragrance can make a routine feel like a small return.</p><span aria-hidden=""true"">✦</span></article>",".adazo-signature-scent-memory-cue,.adazo-signature-scent-memory-cue *{box-sizing:border-box}.adazo-signature-scent-memory-cue{display:grid;grid-template-columns:minmax(180px,1fr) minmax(220px,1.5fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #e8c57d66;border-left:5px solid #e8c57d;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#57452d,#7b6340);color:#fffaf1;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-signature-scent-memory-cue:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #e8c57d80;border-radius:50%;opacity:.5}.adazo-signature-scent-memory-cue small{position:relative;color:#e8c57d;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-signature-scent-memory-cue h3,.adazo-signature-scent-memory-cue p{position:relative;margin:0}.adazo-signature-scent-memory-cue h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-signature-scent-memory-cue p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-signature-scent-memory-cue>span{position:relative;color:#e8c57d;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-signature-scent-memory-cue{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-signature-scent-memory-cue>span{text-align:left;font-size:22px}}","culture_craft","fragrance,culture,self-care"
"Pack the product you will use","pack-what-you-use","responsive","<article class=""adazo-pack-what-you-use"" aria-label=""Adazo editorial note""><small>Design note</small><h3>Pack the product you will use</h3><p>A compact kit wins when every item has a job and the order is obvious. The goal is fewer decisions, not a smaller version of the whole bathroom.</p><span aria-hidden=""true"">✦</span></article>",".adazo-pack-what-you-use,.adazo-pack-what-you-use *{box-sizing:border-box}.adazo-pack-what-you-use{display:grid;grid-template-columns:minmax(150px,.8fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #d3a45f66;border-left:5px solid #d3a45f;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#18362d,#31594b);color:#fff9f0;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-pack-what-you-use:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #d3a45f80;border-radius:50%;opacity:.5}.adazo-pack-what-you-use small{position:relative;color:#d3a45f;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-pack-what-you-use h3,.adazo-pack-what-you-use p{position:relative;margin:0}.adazo-pack-what-you-use h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-pack-what-you-use p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-pack-what-you-use>span{position:relative;color:#d3a45f;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-pack-what-you-use{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-pack-what-you-use>span{text-align:left;font-size:22px}}","design_note","travel,routine,self-care"
"Beauty is allowed to be playful","beauty-can-be-playful","responsive","<article class=""adazo-beauty-can-be-playful"" aria-label=""Adazo editorial note""><small>Quick insight</small><h3>Beauty is allowed to be playful</h3><p>A routine can be practical and still leave room for color, shine, scent, or a new texture that simply makes the day more fun.</p><span aria-hidden=""true"">✦</span></article>",".adazo-beauty-can-be-playful,.adazo-beauty-can-be-playful *{box-sizing:border-box}.adazo-beauty-can-be-playful{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #f0a28e66;border-left:5px solid #f0a28e;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#442b2d,#754448);color:#fff8f3;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-beauty-can-be-playful:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #f0a28e80;border-radius:50%;opacity:.5}.adazo-beauty-can-be-playful small{position:relative;color:#f0a28e;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-beauty-can-be-playful h3,.adazo-beauty-can-be-playful p{position:relative;margin:0}.adazo-beauty-can-be-playful h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-beauty-can-be-playful p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-beauty-can-be-playful>span{position:relative;color:#f0a28e;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-beauty-can-be-playful{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-beauty-can-be-playful>span{text-align:left;font-size:22px}}","fun_fact","beauty,makeup,culture"
"A guide should answer the next question","guide-answers-next-question","responsive","<article class=""adazo-guide-answers-next-question"" aria-label=""Adazo editorial note""><small>Did you know?</small><h3>A guide should answer the next question</h3><p>The most useful product guidance anticipates the follow-up: how much, when to use it, what to pair it with, and when to keep it simple.</p><span aria-hidden=""true"">✦</span></article>",".adazo-guide-answers-next-question,.adazo-guide-answers-next-question *{box-sizing:border-box}.adazo-guide-answers-next-question{display:grid;grid-template-columns:minmax(180px,1fr) minmax(220px,1.5fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #a7c5e866;border-left:5px solid #a7c5e8;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#26354a,#3e5774);color:#f6f7ff;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-guide-answers-next-question:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #a7c5e880;border-radius:50%;opacity:.5}.adazo-guide-answers-next-question small{position:relative;color:#a7c5e8;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-guide-answers-next-question h3,.adazo-guide-answers-next-question p{position:relative;margin:0}.adazo-guide-answers-next-question h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-guide-answers-next-question p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-guide-answers-next-question>span{position:relative;color:#a7c5e8;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-guide-answers-next-question{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-guide-answers-next-question>span{text-align:left;font-size:22px}}","did_you_know","beauty,ingredients,routine"
"Good packaging removes friction","good-packaging-removes-friction","responsive","<article class=""adazo-good-packaging-removes-friction"" aria-label=""Adazo editorial note""><small>Design note</small><h3>Good packaging removes friction</h3><p>A pump that does not clog, a cap that closes securely, and a label that stays readable all make consistency easier.</p><span aria-hidden=""true"">✦</span></article>",".adazo-good-packaging-removes-friction,.adazo-good-packaging-removes-friction *{box-sizing:border-box}.adazo-good-packaging-removes-friction{display:grid;grid-template-columns:minmax(150px,.8fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #e8c57d66;border-left:5px solid #e8c57d;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#57452d,#7b6340);color:#fffaf1;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-good-packaging-removes-friction:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #e8c57d80;border-radius:50%;opacity:.5}.adazo-good-packaging-removes-friction small{position:relative;color:#e8c57d;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-good-packaging-removes-friction h3,.adazo-good-packaging-removes-friction p{position:relative;margin:0}.adazo-good-packaging-removes-friction h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-good-packaging-removes-friction p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-good-packaging-removes-friction>span{position:relative;color:#e8c57d;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-good-packaging-removes-friction{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-good-packaging-removes-friction>span{text-align:left;font-size:22px}}","design_note","beauty,self-care,travel"
"Your routine has a season","routine-has-a-season","responsive","<article class=""adazo-routine-has-a-season"" aria-label=""Adazo editorial note""><small>Field note</small><h3>Your routine has a season</h3><p>Weather, travel, and schedule change what feels comfortable. Let the routine flex instead of treating one version as permanent.</p><span aria-hidden=""true"">✦</span></article>",".adazo-routine-has-a-season,.adazo-routine-has-a-season *{box-sizing:border-box}.adazo-routine-has-a-season{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #d3a45f66;border-left:5px solid #d3a45f;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#18362d,#31594b);color:#fff9f0;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-routine-has-a-season:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #d3a45f80;border-radius:50%;opacity:.5}.adazo-routine-has-a-season small{position:relative;color:#d3a45f;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-routine-has-a-season h3,.adazo-routine-has-a-season p{position:relative;margin:0}.adazo-routine-has-a-season h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-routine-has-a-season p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-routine-has-a-season>span{position:relative;color:#d3a45f;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-routine-has-a-season{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-routine-has-a-season>span{text-align:left;font-size:22px}}","nature_note","skin,hair,self-care"
